Game_Date,Opponent,Player,Player_Status,Injury_Status,PTS_Q1,REB_Q1,AST_Q1,3PM_Q1,PTS_Q2,REB_Q2,AST_Q2,3PM_Q2,PTS_Q3,REB_Q3,AST_Q3,3PM_Q3,PTS_Q4,REB_Q4,AST_Q4,3PM_Q4,PTS_TOTAL,REB_TOTAL,AST_TOTAL,3PM_TOTAL
11/20,Houston Rockets,Craig Porter Jr.,Bench,Day-To-Day,3,2,0,1,0,3,0,0,6,1,1,0,0,1,4,0,9,7,5,1
11/20,Houston Rockets,Dean Wade,Bench,Day-To-Day,0,0,1,0,0,1,0,0,1,5,2,0,3,1,0,1,4,7,3,1
11/20,Houston Rockets,Lonzo Ball,Bench,Healthy,0,0,0,0,0,1,2,0,6,1,0,1,0,0,0,0,7,2,2,2
11/20,Houston Rockets,Thomas Bryant,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/20,Houston Rockets,Tyrese Proctor,Bench,Healthy,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,2,1,3,0
11/18,Milwaukee Bucks,Craig Porter Jr.,Bench,Day-To-Day,2,0,0,0,0,0,0,0,6,0,0,0,3,1,0,1,11,1,0,1
11/18,Milwaukee Bucks,Dean Wade,Bench,Day-To-Day,3,1,0,1,0,0,1,0,0,2,1,0,2,5,1,0,5,8,3,1
11/18,Milwaukee Bucks,Lonzo Ball,Bench,Healthy,0,1,2,0,1,1,0,0,5,2,1,1,0,1,2,0,6,5,5,1
11/18,Milwaukee Bucks,Nae'Qwan Tomlin,Bench,Healthy,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,2,2,1,0
11/18,Milwaukee Bucks,Thomas Bryant,Bench,Healthy,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
